Operator name,Line name,Color
叡山電鉄,叡山本線,#007f00
叡山電鉄,鞍馬線,#ff0000
名古屋ガイドウェイバス,ガイドウェイバス志段味線,#3c459a
名古屋市,1号線東山線,#fab123
名古屋市,2号線名城線,#b074d6
名古屋市,2号線名港線,#fab123
名古屋市,3号線鶴舞線,#009bbf
名古屋市,4号線名城線,#b074d6
名古屋市,6号線桜通線,#c92f44
名古屋市,上飯田線,#fc78b4
名古屋臨海高速鉄道,西名古屋港線,#334fa0
名古屋鉄道,三河線,#654e9e
名古屋鉄道,各務原線,#018b44
名古屋鉄道,名古屋本線,#d12027
名古屋鉄道,小牧線,#018b44
名古屋鉄道,尾西線,#e85624
名古屋鉄道,常滑線,#1065ab
名古屋鉄道,広見線,#018b44
名古屋鉄道,河和線,#2a9dd8
名古屋鉄道,津島線,#e85624
名古屋鉄道,瀬戸線,#7c2982
名古屋鉄道,犬山線,#018b44
名古屋鉄道,知多新線,#2a9dd8
名古屋鉄道,空港線,#0072bc
名古屋鉄道,竹鼻線,#edd8a7
名古屋鉄道,築港線,#727171
名古屋鉄道,羽島線,#edd8a7
名古屋鉄道,蒲郡線,#654e9e
名古屋鉄道,西尾線,#654e9e
名古屋鉄道,豊川線,#d12027
名古屋鉄道,豊田線,#9eb03a
和歌山電鐵,貴志川線,#dc143c
四国ケーブル,八栗ケーブル,#999999
四国旅客鉄道,予土線,#009257
四国旅客鉄道,予讃線,#fbaf18
四国旅客鉄道,内子線,#00acd1
四国旅客鉄道,土讃線,#e25885
四国旅客鉄道,徳島線,#2a6482
四国旅客鉄道,本四備讃線,#0072bc
四国旅客鉄道,牟岐線,#00b5ad
四国旅客鉄道,高徳線,#8ac53e
四国旅客鉄道,鳴門線,#8c2c5f
四日市あすなろう鉄道,八王子線,
四日市あすなろう鉄道,内部線,#00a0e8
土佐くろしお鉄道,中村線,#00bfff
土佐くろしお鉄道,宿毛線,
土佐くろしお鉄道,阿佐線,
埼玉新都市交通,伊奈線,#339999
埼玉高速鉄道,埼玉高速鉄道線,#345caa
多摩都市モノレール,多摩都市モノレール線,#ff6633
大井川鐵道,井川線,#ff0000
大井川鐵道,大井川本線,#ff0000
大山観光電鉄,大山鋼索線,#009a41
大阪モノレール,国際文化公園都市モノレール線（彩都線）,
大阪モノレール,大阪モノレール線,#111986
大阪市高速電気軌道,1号線(御堂筋線),#e5171f
大阪市高速電気軌道,2号線(谷町線),#522886
大阪市高速電気軌道,3号線(四つ橋線),#0078ba
大阪市高速電気軌道,4号線(中央線),#019a66
大阪市高速電気軌道,5号線(千日前線),#e44d93
大阪市高速電気軌道,6号線(堺筋線),#814721
大阪市高速電気軌道,7号線(長堀鶴見緑地線),#a9cc51
大阪市高速電気軌道,8号線（今里筋線）,#ee7b1a
大阪市高速電気軌道,南港ポートタウン線,#00a0de
天竜浜名湖鉄道,天竜浜名湖線,#4d7f54
富士山麓電気鉄道,大月線,#0033dd
富士山麓電気鉄道,河口湖線,
富山地方鉄道,上滝線,#ed6d34
富山地方鉄道,不二越線,#ed6d34
富山地方鉄道,呉羽線,#4243be
富山地方鉄道,安野屋線,#4243be
富山地方鉄道,富山港線,#4243be
富山地方鉄道,富山都心線,#3399ff
富山地方鉄道,富山駅南北接続線,#4243be
富山地方鉄道,支線,#ef1731
富山地方鉄道,本線,#66cc33
富山地方鉄道,立山線,#7fbe26
小湊鐵道,小湊鐵道線,#ff6347
小田急電鉄,多摩線,#2288cc
小田急電鉄,小田原線,#2288cc
小田急電鉄,江ノ島線,#2288cc
山万,ユーカリが丘線,#2f9d66
山形鉄道,フラワー長井線,#ff69b4
山陽電気鉄道,本線,#66cc33
山陽電気鉄道,網干線,#0072bc
岡山電気軌道,東山本線,#07502b
岡山電気軌道,清輝橋線,#07502b
岳南電車,岳南線,#ff4f00
島原鉄道,島原鉄道線,#ffff22
嵯峨野観光鉄道,嵯峨野観光線,#b22222
平成筑豊鉄道,伊田線,
平成筑豊鉄道,田川線,
平成筑豊鉄道,糸田線,
平成筑豊鉄道,門司港レトロ観光線,#ffa500
広島電鉄,宇品線,#ff5900
広島電鉄,宮島線,#ef1731
広島電鉄,本線,#66cc33
広島電鉄,横川線,#005a52
広島電鉄,江波線,#ffcc00
広島電鉄,白島線,#797878
広島電鉄,皆実線,#00cc66
広島高速交通,広島新交通1号線,#ffa500
弘南鉄道,大鰐線,#ffa500
弘南鉄道,弘南線,#ffa500
御岳登山鉄道,ケーブルカー,
愛知環状鉄道,愛知環状鉄道線,#2536a1
愛知高速交通,東部丘陵線,#164ca2
新京成電鉄,新京成線,#ef59a1
明知鉄道,明知線,
智頭急行,智頭線,#112299
札幌市,南北線,#35a16b
札幌市,東西線,#ccc
札幌市,東豊線,#0041ff
東京モノレール,東京モノレール羽田線,#003686
東京地下鉄,11号線半蔵門線,#8f76d6
東京地下鉄,13号線副都心線,#9c5e31
東京地下鉄,2号線日比谷線,#b5b5ac
東京地下鉄,3号線銀座線,#ff9500
東京地下鉄,4号線丸ノ内線,#f62e36
東京地下鉄,4号線丸ノ内線分岐線,#f62e36
東京地下鉄,5号線東西線,#009bbf
東京地下鉄,7号線南北線,#00ac9b
東京地下鉄,8号線有楽町線,#c1a470
東京地下鉄,9号線千代田線,#00bb85
東京臨海高速鉄道,りんかい線,#00b19d
東京都,10号線新宿線,#b0bf1e
東京都,12号線大江戸線,#ce045b
東京都,1号線浅草線,#e83e2f
東京都,6号線三田線,#006ab8
東京都,上野懸垂線,#e83e2f
東京都,日暮里・舎人ライナー,#d53a77
東京都,荒川線,#ee86a7
東急電鉄,こどもの国線,#0068b7
東急電鉄,世田谷線,#fcc70d
東急電鉄,大井町線,#f18c43
東急電鉄,東急多摩川線,#ae0378
東急電鉄,東横線,#da0442
東急電鉄,池上線,#ee86a7
東急電鉄,田園都市線,#20a288
東急電鉄,目黒線,#009cd2
東日本旅客鉄道,上越新幹線,#008000
東日本旅客鉄道,上越線,#00b3e6
東日本旅客鉄道,両毛線,#ffd400
東日本旅客鉄道,中央線,#f15a22
東日本旅客鉄道,久留里線,#00b5ad
東日本旅客鉄道,五日市線,#f15a22
東日本旅客鉄道,五能線,#0073bf
東日本旅客鉄道,京葉線,#c9252f
東日本旅客鉄道,仙山線,#72bc4a
東日本旅客鉄道,仙石線,#00aaee
